No.     Time           Source                Destination           Protocol Length Info
      5 13.806458286   172.16.0.1            172.16.0.5            TCP      58     47931 → 53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
      6 13.806485711   172.16.0.1            172.16.0.5            TCP      58     47931 → 21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
      7 13.806492996   172.16.0.1            172.16.0.5            TCP      58     47931 → 25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
      8 13.806501656   172.16.0.1            172.16.0.5            TCP      58     47931 → 22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
      9 13.806508101   172.16.0.1            172.16.0.5            TCP      58     47931 → 23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     10 13.806517026   172.16.0.1            172.16.0.5            TCP      58     47931 → 80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     11 13.806523871   172.16.0.1            172.16.0.5            TCP      58     47931 → 79 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     12 13.806530011   172.16.0.1            172.16.0.5            TCP      58     47931 → 6 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     13 13.806679026   172.16.0.1            172.16.0.5            TCP      58     47931 → 50 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     14 13.806687021   172.16.0.1            172.16.0.5            TCP      58     47931 → 46 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     22 13.806964441   172.16.0.1            172.16.0.5            TCP      54     47931 → 22 [RST] Seq=1 Win=0 Len=0
     26 14.907664731   172.16.0.1            172.16.0.5            TCP      58     47931 → 51 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     27 14.907680943   172.16.0.1            172.16.0.5            TCP      58     47931 → 58 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     28 14.907687443   172.16.0.1            172.16.0.5            TCP      58     47931 → 55 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     29 14.907692303   172.16.0.1            172.16.0.5            TCP      58     47931 → 73 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     30 14.907697271   172.16.0.1            172.16.0.5            TCP      58     47931 → 71 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     31 14.907703995   172.16.0.1            172.16.0.5            TCP      58     47931 → 5 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     32 14.907710995   172.16.0.1            172.16.0.5            TCP      58     47931 → 65 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     33 14.907716467   172.16.0.1            172.16.0.5            TCP      58     47931 → 97 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     34 14.907722575   172.16.0.1            172.16.0.5            TCP      58     47931 → 13 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     35 14.907727907   172.16.0.1            172.16.0.5            TCP      58     47931 → 56 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     36 14.907733803   172.16.0.1            172.16.0.5            TCP      58     47931 → 67 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     37 14.907740031   172.16.0.1            172.16.0.5            TCP      58     47931 → 54 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     38 14.907745899   172.16.0.1            172.16.0.5            TCP      58     47931 → 75 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     39 14.907751091   172.16.0.1            172.16.0.5            TCP      58     47931 → 48 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     40 14.907756115   172.16.0.1            172.16.0.5            TCP      58     47931 → 37 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     41 14.907762187   172.16.0.1            172.16.0.5            TCP      58     47931 → 64 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     42 14.907863395   172.16.0.1            172.16.0.5            TCP      58     47931 → 90 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     43 14.907867463   172.16.0.1            172.16.0.5            TCP      58     47931 → 87 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     44 14.907868715   172.16.0.1            172.16.0.5            TCP      58     47931 → 31 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     45 14.907870243   172.16.0.1            172.16.0.5            TCP      58     47931 → 72 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     46 14.907871679   172.16.0.1            172.16.0.5            TCP      58     47931 → 52 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     47 14.907873079   172.16.0.1            172.16.0.5            TCP      58     47931 → 14 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     48 14.907874567   172.16.0.1            172.16.0.5            TCP      58     47931 → 96 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     49 14.907875959   172.16.0.1            172.16.0.5            TCP      58     47931 → 30 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     50 14.907877355   172.16.0.1            172.16.0.5            TCP      58     47931 → 3 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     51 14.907878755   172.16.0.1            172.16.0.5            TCP      58     47931 → 9 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     52 14.907880175   172.16.0.1            172.16.0.5            TCP      58     47931 → 29 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     53 14.907881467   172.16.0.1            172.16.0.5            TCP      58     47931 → 47 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     54 14.907882671   172.16.0.1            172.16.0.5            TCP      58     47931 → 89 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     55 14.907884163   172.16.0.1            172.16.0.5            TCP      58     47931 → 74 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     56 14.907885591   172.16.0.1            172.16.0.5            TCP      58     47931 → 32 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     57 14.907887087   172.16.0.1            172.16.0.5            TCP      58     47931 → 94 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     58 14.907888891   172.16.0.1            172.16.0.5            TCP      58     47931 → 95 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     59 14.907890123   172.16.0.1            172.16.0.5            TCP      58     47931 → 78 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     60 14.907891291   172.16.0.1            172.16.0.5            TCP      58     47931 → 16 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     61 14.907892723   172.16.0.1            172.16.0.5            TCP      58     47931 → 69 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     62 14.907894363   172.16.0.1            172.16.0.5            TCP      58     47931 → 38 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     63 14.907895475   172.16.0.1            172.16.0.5            TCP      58     47931 → 43 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     64 14.907896759   172.16.0.1            172.16.0.5            TCP      58     47931 → 1 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     65 14.907897867   172.16.0.1            172.16.0.5            TCP      58     47931 → 11 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     66 14.907905827   172.16.0.1            172.16.0.5            TCP      58     47931 → 63 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     67 14.907912103   172.16.0.1            172.16.0.5            TCP      58     47931 → 26 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     68 14.907917491   172.16.0.1            172.16.0.5            TCP      58     47931 → 41 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     69 14.907922363   172.16.0.1            172.16.0.5            TCP      58     47931 → 68 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     70 14.907928291   172.16.0.1            172.16.0.5            TCP      58     47931 → 4 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     71 14.907933343   172.16.0.1            172.16.0.5            TCP      58     47931 → 27 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     72 14.907939095   172.16.0.1            172.16.0.5            TCP      58     47931 → 42 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     73 14.907944387   172.16.0.1            172.16.0.5            TCP      58     47931 → 62 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     74 14.908098155   172.16.0.1            172.16.0.5            TCP      58     47931 → 81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     75 14.908107123   172.16.0.1            172.16.0.5            TCP      58     47931 → 34 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    126 14.910077868   172.16.0.1            172.16.0.5            TCP      58     47931 → 76 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    127 14.910088808   172.16.0.1            172.16.0.5            TCP      58     47931 → 98 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    128 14.910094236   172.16.0.1            172.16.0.5            TCP      58     47931 → 10 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    129 14.910100480   172.16.0.1            172.16.0.5            TCP      58     47931 → 86 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    130 14.910106404   172.16.0.1            172.16.0.5            TCP      58     47931 → 77 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    131 14.910111452   172.16.0.1            172.16.0.5            TCP      58     47931 → 44 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    132 14.910117164   172.16.0.1            172.16.0.5            TCP      58     47931 → 61 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    133 14.910122772   172.16.0.1            172.16.0.5            TCP      58     47931 → 57 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    134 14.910128200   172.16.0.1            172.16.0.5            TCP      58     47931 → 100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    135 14.910133332   172.16.0.1            172.16.0.5            TCP      58     47931 → 33 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    136 14.910138056   172.16.0.1            172.16.0.5            TCP      58     47931 → 19 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    137 14.910143692   172.16.0.1            172.16.0.5            TCP      58     47931 → 66 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    138 14.910149756   172.16.0.1            172.16.0.5            TCP      58     47931 → 59 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    139 14.910154520   172.16.0.1            172.16.0.5            TCP      58     47931 → 70 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    140 14.910160212   172.16.0.1            172.16.0.5            TCP      58     47931 → 2 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    141 14.910166176   172.16.0.1            172.16.0.5            TCP      58     47931 → 17 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    142 14.910171248   172.16.0.1            172.16.0.5            TCP      58     47931 → 12 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    143 14.910177708   172.16.0.1            172.16.0.5            TCP      58     47931 → 84 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    144 14.910183312   172.16.0.1            172.16.0.5            TCP      58     47931 → 36 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    145 14.910188152   172.16.0.1            172.16.0.5            TCP      58     47931 → 60 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    146 14.910193496   172.16.0.1            172.16.0.5            TCP      58     47931 → 24 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    147 14.910200476   172.16.0.1            172.16.0.5            TCP      58     47931 → 82 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    148 14.910205844   172.16.0.1            172.16.0.5            TCP      58     47931 → 49 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    149 14.910211788   172.16.0.1            172.16.0.5            TCP      58     47931 → 18 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    150 14.910218192   172.16.0.1            172.16.0.5            TCP      58     47931 → 92 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    151 14.910223572   172.16.0.1            172.16.0.5            TCP      58     47931 → 28 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    152 14.910230208   172.16.0.1            172.16.0.5            TCP      58     47931 → 15 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    153 14.910235900   172.16.0.1            172.16.0.5            TCP      58     47931 → 93 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    154 14.910241280   172.16.0.1            172.16.0.5            TCP      58     47931 → 40 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    155 14.910246860   172.16.0.1            172.16.0.5            TCP      58     47931 → 35 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    156 14.910252080   172.16.0.1            172.16.0.5            TCP      58     47931 → 85 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    157 14.910258620   172.16.0.1            172.16.0.5            TCP      58     47931 → 88 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    158 14.910264468   172.16.0.1            172.16.0.5            TCP      58     47931 → 7 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    159 14.910269344   172.16.0.1            172.16.0.5            TCP      58     47931 → 8 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    160 14.910274240   172.16.0.1            172.16.0.5            TCP      58     47931 → 39 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    161 14.910279028   172.16.0.1            172.16.0.5            TCP      58     47931 → 91 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    162 14.910285216   172.16.0.1            172.16.0.5            TCP      58     47931 → 99 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    163 14.910295396   172.16.0.1            172.16.0.5            TCP      58     47931 → 83 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    164 14.910300244   172.16.0.1            172.16.0.5            TCP      58     47931 → 45 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    165 14.910305272   172.16.0.1            172.16.0.5            TCP      58     47931 → 20 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    175 14.910841712   172.16.0.1            172.16.0.5            TCP      54     47931 → 19 [RST] Seq=1 Win=0 Len=0
    199 14.911043960   172.16.0.1            172.16.0.5            TCP      54     47931 → 7 [RST] Seq=1 Win=0 Len=0
    208 15.008926361   172.16.0.1            172.16.0.5            TCP      58     47932 → 34 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    209 15.008942105   172.16.0.1            172.16.0.5            TCP      58     47932 → 81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    210 15.008949529   172.16.0.1            172.16.0.5            TCP      58     47932 → 62 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
    211 15.008955434   172.16.0.1            172.16.0.5            TCP      58     47932 → 42 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
