No.     Time           Source                Destination           Protocol Length Info
     30 13.392727810   192.168.2.219         192.168.2.15          TCP      74     55554 → 22 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     31 13.392738664   192.168.2.219         192.168.2.15          TCP      74     53154 → 21 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     32 13.392745755   192.168.2.219         192.168.2.15          TCP      74     52538 → 23 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     33 13.392753477   192.168.2.219         192.168.2.15          TCP      74     49550 → 25 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     34 13.392761457   192.168.2.219         192.168.2.15          TCP      74     46184 → 53 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     35 13.392770141   192.168.2.219         192.168.2.15          TCP      74     38310 → 94 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     36 13.392866531   192.168.2.219         192.168.2.15          TCP      74     41720 → 12 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     37 13.392869453   192.168.2.219         192.168.2.15          TCP      74     58470 → 10 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     38 13.392869989   192.168.2.219         192.168.2.15          TCP      74     48842 → 95 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=3673632804 TSecr=0 WS=128
     41 13.393708432   192.168.2.219         192.168.2.15          TCP      66     60136 → 80 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=3673632805 TSecr=3434958279
