No.     Time           Source                Destination           Protocol Length Info
     32 13.287170377   192.168.2.219         192.168.2.15          TCP      58     52091 → 25 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     33 13.287204372   192.168.2.219         192.168.2.15          TCP      58     52091 → 22 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     34 13.287213857   192.168.2.219         192.168.2.15          TCP      58     52091 → 21 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     35 13.287220773   192.168.2.219         192.168.2.15          TCP      58     52091 → 80 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     36 13.287229593   192.168.2.219         192.168.2.15          TCP      58     52091 → 23 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     37 13.287238438   192.168.2.219         192.168.2.15          TCP      58     52091 → 53 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     38 13.287245923   192.168.2.219         192.168.2.15          TCP      58     52091 → 73 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     39 13.287253003   192.168.2.219         192.168.2.15          TCP      58     52091 → 30 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     40 13.287259844   192.168.2.219         192.168.2.15          TCP      58     52091 → 78 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     41 13.287268349   192.168.2.219         192.168.2.15          TCP      58     52091 → 47 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     48 13.288262860   192.168.2.219         192.168.2.15          TCP      54     52091 → 22 [RST] Seq=1 Win=0 Len=0
     51 13.288273805   192.168.2.219         192.168.2.15          TCP      54     52091 → 80 [RST] Seq=1 Win=0 Len=0
     54 14.388343269   192.168.2.219         192.168.2.15          TCP      58     52091 → 19 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     55 14.388355787   192.168.2.219         192.168.2.15          TCP      58     52091 → 20 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     56 14.388360395   192.168.2.219         192.168.2.15          TCP      58     52091 → 31 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     57 14.388365279   192.168.2.219         192.168.2.15          TCP      58     52091 → 83 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     58 14.388369855   192.168.2.219         192.168.2.15          TCP      58     52091 → 89 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     59 14.388374265   192.168.2.219         192.168.2.15          TCP      58     52091 → 86 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     60 14.388379205   192.168.2.219         192.168.2.15          TCP      58     52091 → 88 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     61 14.388383533   192.168.2.219         192.168.2.15          TCP      58     52091 → 62 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     62 14.388386940   192.168.2.219         192.168.2.15          TCP      58     52091 → 94 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     63 14.388390893   192.168.2.219         192.168.2.15          TCP      58     52091 → 71 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     64 14.388394575   192.168.2.219         192.168.2.15          TCP      58     52091 → 8 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     65 14.388397688   192.168.2.219         192.168.2.15          TCP      58     52091 → 37 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     66 14.388401958   192.168.2.219         192.168.2.15          TCP      58     52091 → 66 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     67 14.388405605   192.168.2.219         192.168.2.15          TCP      58     52091 → 100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     68 14.388408778   192.168.2.219         192.168.2.15          TCP      58     52091 → 24 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     69 14.388411858   192.168.2.219         192.168.2.15          TCP      58     52091 → 74 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     70 14.388415698   192.168.2.219         192.168.2.15          TCP      58     52091 → 51 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     71 14.388419264   192.168.2.219         192.168.2.15          TCP      58     52091 → 3 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     72 14.388422924   192.168.2.219         192.168.2.15          TCP      58     52091 → 17 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     73 14.388426148   192.168.2.219         192.168.2.15          TCP      58     52091 → 72 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     74 14.388430316   192.168.2.219         192.168.2.15          TCP      58     52091 → 68 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     75 14.388434118   192.168.2.219         192.168.2.15          TCP      58     52091 → 46 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     76 14.388437826   192.168.2.219         192.168.2.15          TCP      58     52091 → 52 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     77 14.388440934   192.168.2.219         192.168.2.15          TCP      58     52091 → 99 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
     78 14.388445169   192.168.2.219         192.168.2.15          TCP      58     52091 → 39 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
